age,annual_income_gbp,employment_years,home_owner,num_credit_lines,inquiries_6m,credit_limit_gbp,loan_amount_gbp,loan_term_months,credit_utilization,debt_to_income,num_late_payments_12m,past_default,default
38,22560,0.0,0,6,3,11409,6612,12,0.294,0.424,1,1,0
41,46247,3.4,1,8,4,13058,14290,60,0.26,0.207,0,0,0
35,129952,13.2,1,3,1,80000,6728,12,0.266,0.161,0,0,0
28,19168,0.1,0,5,0,8805,4420,24,0.506,0.115,3,1,0
33,59033,15.6,1,7,0,30351,7130,60,0.385,0.266,0,0,0
27,43758,2.2,0,4,0,25772,9126,36,0.281,0.239,0,0,0
39,40800,4.3,0,4,2,18843,6810,12,0.326,0.21,3,1,1
53,35139,14.1,1,4,2,17896,4692,24,0.352,0.301,2,1,0
33,36535,2.6,0,5,0,29063,6722,36,0.236,0.147,0,0,0
31,77087,4.8,1,1,1,36583,5552,36,0.544,0.237,0,0,0
43,60496,2.1,0,5,2,21584,7727,24,0.241,0.222,0,0,0
42,25179,0.9,0,5,2,3038,8991,24,0.207,0.402,0,0,0
39,102727,2.2,1,7,3,76818,1933,24,0.517,0.143,2,1,0
28,21360,3.3,1,1,1,16149,15731,36,0.626,0.572,3,0,1
38,62782,2.2,1,2,2,17015,10732,48,0.401,0.105,1,0,0
46,48251,0.0,0,2,0,26613,10301,36,0.527,0.126,1,0,0
23,84327,3.2,1,6,0,55130,14066,48,0.512,0.311,0,0,0
33,53067,3.0,0,5,0,41733,7283,60,0.602,0.24,1,0,1
18,78001,0.0,1,3,3,28182,5553,24,0.607,0.188,0,0,0
24,43063,0.0,0,4,0,41610,23631,36,0.354,0.356,3,0,1
18,74535,0.0,0,6,0,34714,4817,60,0.409,0.207,2,0,0
35,52765,10.9,0,2,0,32575,11936,48,0.354,0.244,0,0,0
24,142378,0.0,1,3,3,80000,16083,60,0.655,0.24,6,1,1
41,29786,7.9,0,7,1,11820,13184,12,0.681,0.53,0,0,1
40,84236,11.1,1,3,0,21001,4573,36,0.234,0.211,6,1,1
36,56399,9.1,1,5,1,14511,13466,12,0.169,0.405,1,0,1
18,48142,0.8,0,4,2,23487,3963,36,0.045,0.156,2,1,0
32,31998,3.5,0,3,1,16122,7066,48,0.479,0.177,1,0,0
37,55889,6.1,0,7,1,14285,5312,24,0.288,0.098,0,1,0
39,19432,9.0,0,4,2,6492,9055,24,0.42,0.48,3,0,0
21,20591,3.2,0,6,1,9723,1260,24,0.124,0.173,0,0,0
33,64667,1.8,1,2,1,36076,3624,48,0.497,0.0,1,0,0
27,18589,4.1,0,6,2,6322,10546,48,0.26,0.441,0,0,1
29,96373,4.3,1,1,1,74042,8391,48,0.544,0.163,2,0,1
50,37604,10.8,1,3,1,28941,9677,36,0.157,0.331,2,0,0
29,50175,3.6,0,2,2,18191,13770,36,0.243,0.144,3,1,1
