device,visitor_type,time_of_day,day_type,session_duration_min,page_views,items_to_cart,days_since_last_visit,main_product_category,delivery_speed,return_policy,product_rating_mean,purchase
desktop,returning,evening,weekday,3.26,5,1,2,home,express,extended,4.44,0
mobile,new,night,weekday,5.06,4,0,255,fashion,next_day,basic,4.3,0
desktop,returning,afternoon,weekday,5.19,14,3,16,fashion,standard,basic,3.37,1
desktop,new,morning,weekend,0.4,10,1,324,electronics,standard,basic,3.91,0
mobile,new,evening,weekday,5.41,6,0,223,electronics,standard,basic,4.41,0
tablet,new,evening,weekday,5.95,6,0,259,books,standard,basic,4.13,0
desktop,new,evening,weekday,2.9,8,0,150,sports,express,basic,4.58,0
desktop,new,evening,weekend,5.91,4,0,160,fashion,standard,extended,3.72,0
mobile,new,evening,weekend,3.46,5,1,168,beauty,express,basic,4.42,1
mobile,new,evening,weekday,0.4,2,0,355,home,standard,extended,3.99,0
mobile,new,night,weekend,7.9,5,1,188,fashion,standard,extended,4.08,1
tablet,new,evening,weekday,3.47,3,0,319,beauty,express,basic,4.48,0
desktop,returning,evening,weekend,6.32,6,0,14,home,standard,extended,4.83,1
desktop,new,afternoon,weekday,3.19,3,0,260,fashion,standard,basic,3.84,0
mobile,new,morning,weekday,2.88,3,0,122,beauty,standard,extended,4.27,0
mobile,new,afternoon,weekday,4.14,5,0,163,fashion,standard,extended,3.94,0
mobile,new,evening,weekend,2.21,7,1,318,electronics,standard,extended,4.02,0
mobile,new,evening,weekend,7.46,9,0,259,home,standard,basic,3.64,0
desktop,new,afternoon,weekday,5.96,4,0,193,home,express,basic,3.84,0
desktop,returning,evening,weekday,6.99,5,1,8,books,express,basic,4.34,1
desktop,new,morning,weekday,4.2,7,0,298,fashion,next_day,extended,3.61,0
mobile,new,afternoon,weekday,1.9,7,0,82,sports,express,basic,3.82,0
tablet,new,night,weekday,5.66,8,1,315,books,standard,basic,4.12,0
desktop,returning,afternoon,weekday,6.78,12,0,18,home,standard,basic,3.84,1
desktop,returning,afternoon,weekday,4.66,7,0,12,books,express,basic,4.56,0
mobile,returning,afternoon,weekday,2.52,4,0,16,books,standard,basic,4.73,1
mobile,returning,afternoon,weekend,1.49,10,1,15,sports,standard,basic,3.82,1
mobile,returning,evening,weekday,5.26,8,0,20,books,standard,basic,4.42,0
mobile,new,night,weekday,2.98,1,1,162,home,express,basic,4.04,0
desktop,returning,evening,weekday,8.39,4,0,9,beauty,standard,basic,3.82,1
desktop,new,evening,weekday,6.68,4,1,145,books,standard,basic,4.55,1
tablet,new,afternoon,weekday,3.58,3,1,317,sports,standard,basic,3.96,0
mobile,returning,evening,weekend,5.53,10,0,23,electronics,express,extended,4.02,0
mobile,new,afternoon,weekday,1.38,6,0,225,fashion,standard,basic,4.12,0
mobile,new,morning,weekday,6.03,6,0,57,fashion,express,basic,4.01,0
mobile,new,night,weekend,3.38,1,0,50,sports,standard,basic,3.92,0
mobile,new,afternoon,weekday,5.07,6,0,124,fashion,standard,basic,4.26,0
mobile,returning,afternoon,weekday,7.57,7,0,24,fashion,standard,extended,3.98,0
mobile,new,morning,weekend,2.31,2,0,286,beauty,standard,extended,4.5,0
desktop,returning,evening,weekday,4.66,4,0,6,electronics,standard,basic,4.42,0
mobile,new,morning,weekday,8.68,5,0,182,books,express,basic,4.24,0
desktop,returning,afternoon,weekend,6.75,8,0,14,beauty,standard,basic,4.27,0
desktop,new,evening,weekend,4.31,4,0,74,fashion,next_day,extended,3.78,0
mobile,returning,afternoon,weekday,7.7,14,1,19,fashion,standard,basic,4.05,0
desktop,new,night,weekday,3.55,4,1,143,sports,standard,extended,4.55,0
desktop,new,morning,weekday,4.88,9,0,37,home,express,basic,4.53,0
mobile,new,evening,weekday,2.71,10,0,190,beauty,express,extended,4.4,0
mobile,new,night,weekday,3.76,8,0,78,fashion,standard,basic,4.13,0
desktop,new,evening,weekday,4.02,9,0,45,books,standard,basic,4.45,0
mobile,returning,evening,weekday,3.62,8,1,13,sports,express,basic,3.94,1
mobile,returning,afternoon,weekday,5.31,5,0,7,home,standard,basic,3.76,0
mobile,returning,evening,weekday,3.86,4,2,6,beauty,express,extended,4.28,1
desktop,new,night,weekday,5.41,5,0,296,books,express,basic,4.38,0
desktop,new,evening,weekday,3.96,4,0,193,home,standard,basic,3.83,0
desktop,returning,night,weekend,1.89,9,0,22,beauty,express,extended,3.77,0
desktop,returning,evening,weekday,7.2,5,0,13,books,standard,basic,4.61,0
mobile,new,evening,weekday,5.24,4,0,294,books,next_day,basic,4.26,0
desktop,returning,afternoon,weekend,10.23,7,2,25,sports,next_day,basic,4.3,1
mobile,new,evening,weekday,3.94,5,0,173,sports,express,basic,4.84,0
mobile,returning,night,weekday,5.18,6,1,5,beauty,next_day,extended,4.2,1
desktop,returning,evening,weekday,6.91,8,0,17,beauty,express,basic,4.1,0
mobile,returning,morning,weekend,7.24,9,2,29,fashion,standard,extended,4.0,1
desktop,new,evening,weekday,6.61,8,0,341,home,standard,basic,3.91,0
desktop,new,evening,weekend,5.57,13,0,80,fashion,standard,basic,4.43,0
desktop,new,night,weekday,4.43,4,0,205,fashion,standard,extended,3.62,0
mobile,returning,morning,weekday,6.57,5,0,47,books,express,extended,4.37,1
mobile,new,morning,weekday,3.84,3,0,265,electronics,standard,basic,4.05,0
mobile,returning,afternoon,weekend,2.09,10,1,10,sports,express,basic,4.56,1
mobile,returning,morning,weekday,1.95,11,1,22,fashion,standard,basic,4.32,1
mobile,new,night,weekday,3.38,9,0,68,electronics,standard,extended,4.47,0
mobile,new,afternoon,weekday,4.25,4,0,164,electronics,standard,basic,4.41,0
